Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Sun, Jan 1 2012,0100,62,9.7,68,8.8,130,9.2
Sun, Jan 1 2012,0200,96,10.4,43,7,139,9.4
Sun, Jan 1 2012,0300,61,1.6,62,3.2,123,2.4
Sun, Jan 1 2012,0400,52,3.8,49,6.1,101,5
Sun, Jan 1 2012,0500,32,6.2,34,14.7,66,10.6
Sun, Jan 1 2012,0600,38,5.3,60,8.3,98,7.1
Sun, Jan 1 2012,0700,51,19.6,112,7.1,163,11
Sun, Jan 1 2012,0800,83,7.2,78,3.8,161,5.6
Sun, Jan 1 2012,0900,108,3.7,117,4.3,225,4
Sun, Jan 1 2012,1000,180,2.8,182,2.2,362,2.5
Sun, Jan 1 2012,1100,201,2,264,4.2,465,3.2
Sun, Jan 1 2012,1200,406,1.7,438,2.3,844,2
Sun, Jan 1 2012,1300,651,2.5,567,1.8,1218,2.1
Sun, Jan 1 2012,1400,635,1.6,637,1.4,1272,1.5
Sun, Jan 1 2012,1500,611,1.3,674,1.2,1285,1.2
Sun, Jan 1 2012,1600,550,1.5,603,1.3,1153,1.4
Sun, Jan 1 2012,1700,545,0.9,630,1.9,1175,1.4
Sun, Jan 1 2012,1800,462,1.1,520,1.3,982,1.2
Sun, Jan 1 2012,1900,425,1.4,534,4.1,959,2.9
Sun, Jan 1 2012,2000,330,3,294,4.1,624,3.5
Sun, Jan 1 2012,2100,282,2.8,208,2.4,490,2.7
Sun, Jan 1 2012,2200,194,4.6,154,5.2,348,4.9
Sun, Jan 1 2012,2300,129,3.9,100,8,229,5.7
Sun, Jan 1 2012,2400,87,8,73,16.4,160,11.9
Mon, Jan 2 2012,0100,64,12.5,46,21.7,110,16.4
Mon, Jan 2 2012,0200,39,10.3,30,26.7,69,17.4
Mon, Jan 2 2012,0300,29,24.1,41,19.5,70,21.4
Mon, Jan 2 2012,0400,29,27.6,81,16,110,19.1
Mon, Jan 2 2012,0500,36,30.6,92,12,128,17.2
Mon, Jan 2 2012,0600,69,5.8,175,10.9,244,9.4
Mon, Jan 2 2012,0700,83,9.6,167,12,250,11.2
Mon, Jan 2 2012,0800,152,10.5,157,7,309,8.7
Mon, Jan 2 2012,0900,235,6,235,11.9,470,8.9
Mon, Jan 2 2012,1000,319,7.5,282,9.9,601,8.7
Mon, Jan 2 2012,1100,446,6.1,470,5.1,916,5.6
Mon, Jan 2 2012,1200,664,4.8,514,4.7,1178,4.8
Mon, Jan 2 2012,1300,691,3.5,656,3.4,1347,3.4
Mon, Jan 2 2012,1400,755,2.9,796,4.9,1551,3.9
Mon, Jan 2 2012,1500,716,2.5,824,3.3,1540,2.9
Mon, Jan 2 2012,1600,753,3.5,852,3.1,1605,3.2
Mon, Jan 2 2012,1700,691,3,813,2.7,1504,2.9
Mon, Jan 2 2012,1800,609,2.8,759,4.5,1368,3.7
Mon, Jan 2 2012,1900,529,5.1,699,6.9,1228,6.1
Mon, Jan 2 2012,2000,442,5,430,5.3,872,5.2
Mon, Jan 2 2012,2100,319,6.3,323,5.9,642,6.1
Mon, Jan 2 2012,2200,198,7.6,213,6.6,411,7.1
Mon, Jan 2 2012,2300,154,9.1,131,8.4,285,8.8
Mon, Jan 2 2012,2400,103,9.7,84,25,187,16.6
Tue, Jan 3 2012,0100,65,7.7,62,33.9,127,20.5
Tue, Jan 3 2012,0200,42,35.7,39,48.7,81,42
Tue, Jan 3 2012,0300,31,32.3,45,24.4,76,27.6
Tue, Jan 3 2012,0400,33,36.4,95,28.4,128,30.5
Tue, Jan 3 2012,0500,59,23.7,151,25.2,210,24.8
Tue, Jan 3 2012,0600,155,16.8,432,19,587,18.4
Tue, Jan 3 2012,0700,222,16.7,762,11.3,984,12.5
Tue, Jan 3 2012,0800,664,10.7,907,7.7,1571,9
Tue, Jan 3 2012,0900,723,12.9,788,12.4,1511,12.6
Tue, Jan 3 2012,1000,522,11.5,559,16.5,1081,14.1
Tue, Jan 3 2012,1100,613,12.4,589,15.4,1202,13.9
Tue, Jan 3 2012,1200,685,11.8,684,15.4,1369,13.6
Tue, Jan 3 2012,1300,704,11.2,685,12.6,1389,11.9
Tue, Jan 3 2012,1400,751,13,696,11.1,1447,12.1
Tue, Jan 3 2012,1500,757,15.5,674,10.7,1431,13.2
Tue, Jan 3 2012,1600,834,10.4,749,8.1,1583,9.3
Tue, Jan 3 2012,1700,1033,6.7,871,7.6,1904,7.1
Tue, Jan 3 2012,1800,973,5.7,752,5.5,1725,5.6
Tue, Jan 3 2012,1900,745,8.7,553,11.4,1298,9.9
Tue, Jan 3 2012,2000,406,10.6,323,13.3,729,11.8
Tue, Jan 3 2012,2100,275,9.1,237,11.8,512,10.4
Tue, Jan 3 2012,2200,206,13.1,189,19.6,395,16.2
Tue, Jan 3 2012,2300,181,14.9,116,21.6,297,17.5
Tue, Jan 3 2012,2400,120,24.2,67,50.7,187,33.7
Wed, Jan 4 2012,0100,93,14,57,29.8,150,20
Wed, Jan 4 2012,0200,63,34.9,30,70,93,46.2
Wed, Jan 4 2012,0300,40,37.5,45,28.9,85,32.9
Wed, Jan 4 2012,0400,40,62.5,115,28.7,155,37.4
Wed, Jan 4 2012,0500,65,29.2,147,34.7,212,33
Wed, Jan 4 2012,0600,137,24.8,414,23.2,551,23.6
Wed, Jan 4 2012,0700,259,28.6,736,14.5,995,18.2
Wed, Jan 4 2012,0800,708,12.1,952,8.9,1660,10.3
Wed, Jan 4 2012,0900,805,9.8,923,13.8,1728,11.9
Wed, Jan 4 2012,1000,634,14,689,18.1,1323,16.2
Wed, Jan 4 2012,1100,691,16.1,614,18.4,1305,17.2
Wed, Jan 4 2012,1200,732,11.6,683,14.8,1415,13.1
Wed, Jan 4 2012,1300,770,13.8,673,13.7,1443,13.7
Wed, Jan 4 2012,1400,799,13.6,734,12.1,1533,12.9
Wed, Jan 4 2012,1500,843,16.1,767,9.9,1610,13.2
Wed, Jan 4 2012,1600,917,11.9,747,7,1664,9.7
Wed, Jan 4 2012,1700,1101,9,841,7.5,1942,8.3
Wed, Jan 4 2012,1800,1034,6.1,878,6.6,1912,6.3
Wed, Jan 4 2012,1900,771,8.2,572,11.9,1343,9.8
Wed, Jan 4 2012,2000,486,11.7,341,15.8,827,13.4
Wed, Jan 4 2012,2100,293,13,264,15.9,557,14.4
Wed, Jan 4 2012,2200,218,16.5,219,21.9,437,19.2
Wed, Jan 4 2012,2300,148,14.9,113,18.6,261,16.5
Wed, Jan 4 2012,2400,148,16.2,91,38.5,239,24.7
Thu, Jan 5 2012,0100,90,20,52,44.2,142,28.9
Thu, Jan 5 2012,0200,42,42.9,40,47.5,82,45.1
Thu, Jan 5 2012,0300,55,34.5,42,47.6,97,40.2
Thu, Jan 5 2012,0400,44,47.7,91,28.6,135,34.8
Thu, Jan 5 2012,0500,58,25.9,156,39.7,214,36
Thu, Jan 5 2012,0600,134,25.4,354,26.6,488,26.2
Thu, Jan 5 2012,0700,222,29.7,716,16.2,938,19.4
Thu, Jan 5 2012,0800,664,12.2,970,9.5,1634,10.6
Thu, Jan 5 2012,0900,894,11.6,947,13.7,1841,12.7
Thu, Jan 5 2012,1000,723,13,654,17.3,1377,15
Thu, Jan 5 2012,1100,711,14.8,635,17.5,1346,16
Thu, Jan 5 2012,1200,760,15.7,698,17.3,1458,16.5
Thu, Jan 5 2012,1300,778,13.8,772,14.4,1550,14.1
Thu, Jan 5 2012,1400,812,14.8,751,11.1,1563,13
Thu, Jan 5 2012,1500,817,14.1,773,11.1,1590,12.6
Thu, Jan 5 2012,1600,866,14.8,876,11,1742,12.9
Thu, Jan 5 2012,1700,1206,8.6,965,6.6,2171,7.7
Thu, Jan 5 2012,1800,1133,8.2,869,5.5,2002,7
Thu, Jan 5 2012,1900,777,7.9,644,9,1421,8.4
Thu, Jan 5 2012,2000,498,9.4,380,12.9,878,10.9
Thu, Jan 5 2012,2100,356,13.2,319,14.1,675,13.6
Thu, Jan 5 2012,2200,264,13.3,219,14.6,483,13.9
Thu, Jan 5 2012,2300,233,11.6,147,14.3,380,12.6
Thu, Jan 5 2012,2400,153,17,103,25.2,256,20.3
Fri, Jan 6 2012,0100,90,23.3,55,38.2,145,29
Fri, Jan 6 2012,0200,69,42,48,43.8,117,42.7
Fri, Jan 6 2012,0300,38,50,60,45,98,46.9
Fri, Jan 6 2012,0400,48,39.6,84,40.5,132,40.2
Fri, Jan 6 2012,0500,43,25.6,178,44.4,221,40.7
Fri, Jan 6 2012,0600,142,28.9,366,23.8,508,25.2
Fri, Jan 6 2012,0700,222,20.3,716,19.4,938,19.6
Fri, Jan 6 2012,0800,676,14.6,967,10.9,1643,12.4
Fri, Jan 6 2012,0900,826,10.7,820,12.7,1646,11.7
Fri, Jan 6 2012,1000,696,15.1,672,15.3,1368,15.2
Fri, Jan 6 2012,1100,754,13.9,692,17.2,1446,15.5
Fri, Jan 6 2012,1200,866,15.2,723,13.8,1589,14.6
Fri, Jan 6 2012,1300,842,15.2,776,14.6,1618,14.9
Fri, Jan 6 2012,1400,858,12.2,836,10.5,1694,11.4
Fri, Jan 6 2012,1500,1005,11.8,821,7.8,1826,10
Fri, Jan 6 2012,1600,1193,12.5,915,8.7,2108,10.9
Fri, Jan 6 2012,1700,1328,7.8,924,6,2252,7.1
Fri, Jan 6 2012,1800,1184,7.9,851,3.9,2035,6.2
Fri, Jan 6 2012,1900,858,8.4,687,7.7,1545,8.1
Fri, Jan 6 2012,2000,581,7.7,512,10.2,1093,8.9
Fri, Jan 6 2012,2100,408,9.8,372,10.2,780,10
Fri, Jan 6 2012,2200,261,13,367,14.2,628,13.7
Fri, Jan 6 2012,2300,197,12.7,156,12.2,353,12.5
Fri, Jan 6 2012,2400,167,13.8,102,7.8,269,11.5
Sat, Jan 7 2012,0100,98,20.4,55,21.8,153,20.9
Sat, Jan 7 2012,0200,78,33.3,42,26.2,120,30.8
Sat, Jan 7 2012,0300,38,15.8,51,35.3,89,27
Sat, Jan 7 2012,0400,42,35.7,73,24.7,115,28.7
Sat, Jan 7 2012,0500,55,30.9,78,23.1,133,26.3
Sat, Jan 7 2012,0600,86,11.6,143,17.5,229,15.3
Sat, Jan 7 2012,0700,139,23.7,222,12.2,361,16.6
Sat, Jan 7 2012,0800,344,8.7,291,7.6,635,8.2
Sat, Jan 7 2012,0900,520,6.2,439,8.4,959,7.2
Sat, Jan 7 2012,1000,588,6.6,449,7.3,1037,6.9
Sat, Jan 7 2012,1100,673,4.9,561,7,1234,5.8
Sat, Jan 7 2012,1200,713,5.6,662,3.5,1375,4.6
Sat, Jan 7 2012,1300,717,5.3,663,5,1380,5.1
Sat, Jan 7 2012,1400,734,3.8,783,4.3,1517,4.1
Sat, Jan 7 2012,1500,742,4.2,764,2.9,1506,3.5
Sat, Jan 7 2012,1600,695,4.7,757,4.1,1452,4.4
Sat, Jan 7 2012,1700,601,4.7,691,2.7,1292,3.6
Sat, Jan 7 2012,1800,582,3.8,656,3.4,1238,3.6
Sat, Jan 7 2012,1900,542,3.7,597,6,1139,4.9
Sat, Jan 7 2012,2000,399,4.3,373,5.4,772,4.8
Sat, Jan 7 2012,2100,287,4.9,249,2.4,536,3.7
Sat, Jan 7 2012,2200,221,4.5,175,7.4,396,5.8
Sat, Jan 7 2012,2300,152,6.6,201,2,353,4
Sat, Jan 7 2012,2400,148,8.1,66,12.1,214,9.3
Sun, Jan 8 2012,0100,70,7.1,53,13.2,123,9.8
Sun, Jan 8 2012,0200,56,12.5,55,12.7,111,12.6
Sun, Jan 8 2012,0300,22,9.1,41,9.8,63,9.5
Sun, Jan 8 2012,0400,37,18.9,58,12.1,95,14.7
Sun, Jan 8 2012,0500,38,23.7,54,14.8,92,18.5
Sun, Jan 8 2012,0600,53,5.7,133,12,186,10.2
Sun, Jan 8 2012,0700,94,13.8,170,13.5,264,13.6
Sun, Jan 8 2012,0800,144,11.8,169,7.7,313,9.6
Sun, Jan 8 2012,0900,176,6.8,206,10.2,382,8.6
Sun, Jan 8 2012,1000,273,5.1,275,4.7,548,4.9
Sun, Jan 8 2012,1100,340,4.1,371,5.7,711,4.9
Sun, Jan 8 2012,1200,586,2.4,492,6.3,1078,4.2
Sun, Jan 8 2012,1300,659,2.3,562,2.1,1221,2.2
Sun, Jan 8 2012,1400,667,3.6,647,3.2,1314,3.4
Sun, Jan 8 2012,1500,659,2.9,662,3.2,1321,3
Sun, Jan 8 2012,1600,714,3.8,650,4,1364,3.9
Sun, Jan 8 2012,1700,675,3.6,762,3.8,1437,3.7
Sun, Jan 8 2012,1800,658,4.6,725,4.3,1383,4.4
Sun, Jan 8 2012,1900,557,5,689,8,1246,6.7
Sun, Jan 8 2012,2000,446,4,498,7.2,944,5.7
Sun, Jan 8 2012,2100,356,3.9,324,6.5,680,5.1
Sun, Jan 8 2012,2200,229,7.9,222,6.8,451,7.3
Sun, Jan 8 2012,2300,137,10.9,118,11,255,11
Sun, Jan 8 2012,2400,107,13.1,77,26,184,18.5
Mon, Jan 9 2012,0100,55,18.2,54,25.9,109,22
Mon, Jan 9 2012,0200,33,24.2,38,50,71,38
Mon, Jan 9 2012,0300,42,28.6,42,31,84,29.8
Mon, Jan 9 2012,0400,33,57.6,105,37.1,138,42
Mon, Jan 9 2012,0500,62,29,202,42.6,264,39.4
Mon, Jan 9 2012,0600,168,19,495,25.5,663,23.8
Mon, Jan 9 2012,0700,316,21.5,1010,14.5,1326,16.1
Mon, Jan 9 2012,0800,991,10.4,1284,9.7,2275,10
Mon, Jan 9 2012,0900,1009,9.1,1114,11,2123,10.1
Mon, Jan 9 2012,1000,779,12.5,774,15.9,1553,14.2
Mon, Jan 9 2012,1100,673,18.7,664,18.5,1337,18.6
Mon, Jan 9 2012,1200,661,16.6,693,16.2,1354,16.4
Mon, Jan 9 2012,1300,631,17.3,654,15.3,1285,16.3
Mon, Jan 9 2012,1400,752,13.6,679,13.7,1431,13.6
Mon, Jan 9 2012,1500,723,13.7,743,14,1466,13.8
Mon, Jan 9 2012,1600,909,12.1,734,9.8,1643,11.1
Mon, Jan 9 2012,1700,1172,9.7,941,8.4,2113,9.1
Mon, Jan 9 2012,1800,1154,8.6,901,6.3,2055,7.6
Mon, Jan 9 2012,1900,682,8.4,544,13.1,1226,10.4
Mon, Jan 9 2012,2000,440,10,335,17.3,775,13.2
Mon, Jan 9 2012,2100,296,14.2,261,15.3,557,14.7
Mon, Jan 9 2012,2200,195,15.9,186,21,381,18.4
Mon, Jan 9 2012,2300,173,16.8,119,15.1,292,16.1
Mon, Jan 9 2012,2400,115,25.2,59,23.7,174,24.7
Tue, Jan 10 2012,0100,59,23.7,47,34,106,28.3
Tue, Jan 10 2012,0200,38,57.9,26,61.5,64,59.4
Tue, Jan 10 2012,0300,35,51.4,42,50,77,50.6
Tue, Jan 10 2012,0400,30,53.3,64,39.1,94,43.6
Tue, Jan 10 2012,0500,51,47.1,176,40.3,227,41.9
Tue, Jan 10 2012,0600,130,31.5,424,23.6,554,25.5
Tue, Jan 10 2012,0700,331,26.3,934,15.2,1265,18.1
Tue, Jan 10 2012,0800,909,9.8,1164,9,2073,9.4
Tue, Jan 10 2012,0900,1091,10.6,1183,10.7,2274,10.6
Tue, Jan 10 2012,1000,762,11.5,760,15.3,1522,13.4
Tue, Jan 10 2012,1100,709,18.3,659,15.8,1368,17.1
Tue, Jan 10 2012,1200,616,17.5,697,15.8,1313,16.6
Tue, Jan 10 2012,1300,662,19.3,720,14.7,1382,16.9
Tue, Jan 10 2012,1400,799,14.1,756,14.6,1555,14.3
Tue, Jan 10 2012,1500,845,16.8,747,10.7,1592,13.9
Tue, Jan 10 2012,1600,970,15.1,803,9.6,1773,12.6
Tue, Jan 10 2012,1700,1280,9.7,1046,8,2326,8.9
Tue, Jan 10 2012,1800,1210,7.4,910,6.7,2120,7.1
Tue, Jan 10 2012,1900,785,8.5,577,12,1362,10
Tue, Jan 10 2012,2000,458,10.7,305,17.7,763,13.5
Tue, Jan 10 2012,2100,341,13.5,241,20.3,582,16.3
Tue, Jan 10 2012,2200,257,13.2,220,20.9,477,16.8
Tue, Jan 10 2012,2300,173,12.1,114,19.3,287,15
Tue, Jan 10 2012,2400,135,17,63,33.3,198,22.2
Wed, Jan 11 2012,0100,60,35,35,51.4,95,41.1
Wed, Jan 11 2012,0200,41,36.6,24,58.3,65,44.6
Wed, Jan 11 2012,0300,38,39.5,40,40,78,39.7
Wed, Jan 11 2012,0400,49,59.2,80,36.2,129,45
Wed, Jan 11 2012,0500,68,35.3,153,51,221,46.2
Wed, Jan 11 2012,0600,136,39.7,407,23.6,543,27.6
Wed, Jan 11 2012,0700,264,20.8,867,14.8,1131,16.2
Wed, Jan 11 2012,0800,875,10.9,1173,10.1,2048,10.4
Wed, Jan 11 2012,0900,1100,10.5,1143,12.3,2243,11.5
Wed, Jan 11 2012,1000,782,12.8,815,16.2,1597,14.5
Wed, Jan 11 2012,1100,653,16.1,701,14.7,1354,15.4
Wed, Jan 11 2012,1200,685,16.9,620,13.9,1305,15.5
Wed, Jan 11 2012,1300,715,20.1,648,15.3,1363,17.8
Wed, Jan 11 2012,1400,763,17.2,757,14.4,1520,15.8
Wed, Jan 11 2012,1500,784,15.3,775,11.1,1559,13.2
Wed, Jan 11 2012,1600,1004,11.9,835,11.3,1839,11.6
Wed, Jan 11 2012,1700,1266,9,1003,8.1,2269,8.6
Wed, Jan 11 2012,1800,1167,7.5,893,6.4,2060,7
Wed, Jan 11 2012,1900,870,9.2,550,10,1420,9.5
Wed, Jan 11 2012,2000,484,10.1,389,18,873,13.6
Wed, Jan 11 2012,2100,327,10.4,264,18.9,591,14.2
Wed, Jan 11 2012,2200,270,15.6,184,13.6,454,14.8
Wed, Jan 11 2012,2300,198,12.1,130,20.8,328,15.5
Wed, Jan 11 2012,2400,115,20.9,69,31.9,184,25
Thu, Jan 12 2012,0100,73,34.2,49,30.6,122,32.8
Thu, Jan 12 2012,0200,41,43.9,34,58.8,75,50.7
Thu, Jan 12 2012,0300,45,51.1,56,44.6,101,47.5
Thu, Jan 12 2012,0400,41,58.5,82,40.2,123,46.3
Thu, Jan 12 2012,0500,63,39.7,155,49,218,46.3
Thu, Jan 12 2012,0600,129,39.5,418,31.3,547,33.3
Thu, Jan 12 2012,0700,303,22.4,922,14.1,1225,16.2
Thu, Jan 12 2012,0800,923,9.1,1194,12.2,2117,10.9
Thu, Jan 12 2012,0900,1088,11.4,1081,10.3,2169,10.8
Thu, Jan 12 2012,1000,822,13.7,786,19,1608,16.3
Thu, Jan 12 2012,1100,662,18.1,662,17.8,1324,18
Thu, Jan 12 2012,1200,701,17.4,664,14.8,1365,16.1
Thu, Jan 12 2012,1300,744,18.4,712,14.5,1456,16.5
Thu, Jan 12 2012,1400,825,15.8,790,11.5,1615,13.7
Thu, Jan 12 2012,1500,828,16.5,782,12,1610,14.3
Thu, Jan 12 2012,1600,1002,14.3,846,11.2,1848,12.9
Thu, Jan 12 2012,1700,1322,9.2,1024,7.4,2346,8.4
Thu, Jan 12 2012,1800,1205,6.2,920,6.5,2125,6.4
Thu, Jan 12 2012,1900,895,6.8,605,11.2,1500,8.6
Thu, Jan 12 2012,2000,548,12.4,414,12.8,962,12.6
Thu, Jan 12 2012,2100,408,10.5,320,16.2,728,13
Thu, Jan 12 2012,2200,296,11.1,228,19.7,524,14.9
Thu, Jan 12 2012,2300,246,10.6,149,18.8,395,13.7
Thu, Jan 12 2012,2400,127,20.5,91,19.8,218,20.2
Fri, Jan 13 2012,0100,73,28.8,54,35.2,127,31.5
Fri, Jan 13 2012,0200,49,51,38,55.3,87,52.9
Fri, Jan 13 2012,0300,45,46.7,52,32.7,97,39.2
Fri, Jan 13 2012,0400,40,35,97,47.4,137,43.8
Fri, Jan 13 2012,0500,58,44.8,139,50.4,197,48.7
Fri, Jan 13 2012,0600,120,33.3,402,29.1,522,30.1
Fri, Jan 13 2012,0700,272,26.8,773,15.4,1045,18.4
Fri, Jan 13 2012,0800,863,11.6,1130,10.8,1993,11.1
Fri, Jan 13 2012,0900,998,11.2,1129,12.4,2127,11.8
Fri, Jan 13 2012,1000,782,17.1,675,18.2,1457,17.6
Fri, Jan 13 2012,1100,724,15.9,694,18.6,1418,17.2
Fri, Jan 13 2012,1200,751,16.9,770,14.3,1521,15.6
Fri, Jan 13 2012,1300,849,15.9,788,15,1637,15.5
Fri, Jan 13 2012,1400,948,14.9,833,13.3,1781,14.1
Fri, Jan 13 2012,1500,1058,14.5,929,10.4,1987,12.6
Fri, Jan 13 2012,1600,1298,12.9,980,8.2,2278,10.9
Fri, Jan 13 2012,1700,1464,9.4,1087,7.9,2551,8.7
Fri, Jan 13 2012,1800,1300,6.8,957,5.3,2257,6.2
Fri, Jan 13 2012,1900,1037,7.8,622,6.8,1659,7.4
Fri, Jan 13 2012,2000,669,7.8,487,12.1,1156,9.6
Fri, Jan 13 2012,2100,459,9.4,343,12.2,802,10.6
Fri, Jan 13 2012,2200,284,10.6,348,13.5,632,12.2
Fri, Jan 13 2012,2300,243,13.2,189,10.6,432,12
Fri, Jan 13 2012,2400,157,10.8,119,7.6,276,9.4
Sat, Jan 14 2012,0100,92,19.6,65,13.8,157,17.2
Sat, Jan 14 2012,0200,67,28.4,56,26.8,123,27.6
Sat, Jan 14 2012,0300,37,29.7,46,45.7,83,38.6
Sat, Jan 14 2012,0400,42,40.5,54,29.6,96,34.4
Sat, Jan 14 2012,0500,24,33.3,87,24.1,111,26.1
Sat, Jan 14 2012,0600,71,32.4,148,16.9,219,21.9
Sat, Jan 14 2012,0700,144,24.3,233,12.4,377,17
Sat, Jan 14 2012,0800,285,14,342,8.2,627,10.8
Sat, Jan 14 2012,0900,462,8,522,9.8,984,8.9
Sat, Jan 14 2012,1000,555,7.9,516,7.6,1071,7.7
Sat, Jan 14 2012,1100,659,4.7,575,7.5,1234,6
Sat, Jan 14 2012,1200,782,4.7,633,5.1,1415,4.9
Sat, Jan 14 2012,1300,762,4.7,661,3.9,1423,4.4
Sat, Jan 14 2012,1400,788,4.1,769,3.6,1557,3.9
Sat, Jan 14 2012,1500,771,3.5,687,3.6,1458,3.6
Sat, Jan 14 2012,1600,714,4.2,692,3.9,1406,4.1
Sat, Jan 14 2012,1700,653,4.3,740,3,1393,3.6
Sat, Jan 14 2012,1800,697,4,664,3.2,1361,3.6
Sat, Jan 14 2012,1900,509,5.1,555,7,1064,6.1
Sat, Jan 14 2012,2000,379,7.4,374,3.7,753,5.6
Sat, Jan 14 2012,2100,295,4.7,235,3.4,530,4.2
Sat, Jan 14 2012,2200,167,4.8,181,3.9,348,4.3
Sat, Jan 14 2012,2300,158,7,140,6.4,298,6.7
Sat, Jan 14 2012,2400,122,9.8,88,12.5,210,11
Sun, Jan 15 2012,0100,97,6.2,70,7.1,167,6.6
Sun, Jan 15 2012,0200,77,9.1,68,11.8,145,10.3
Sun, Jan 15 2012,0300,38,13.2,47,8.5,85,10.6
Sun, Jan 15 2012,0400,40,17.5,44,13.6,84,15.5
Sun, Jan 15 2012,0500,22,9.1,54,22.2,76,18.4
Sun, Jan 15 2012,0600,52,13.5,110,16.4,162,15.4
Sun, Jan 15 2012,0700,89,19.1,152,13.2,241,15.4
Sun, Jan 15 2012,0800,143,12.6,198,12.1,341,12.3
Sun, Jan 15 2012,0900,194,4.6,238,7.1,432,6
Sun, Jan 15 2012,1000,356,5.9,287,5.2,643,5.6
Sun, Jan 15 2012,1100,375,5.1,398,5.8,773,5.4
Sun, Jan 15 2012,1200,562,5,527,4.2,1089,4.6
Sun, Jan 15 2012,1300,726,3.3,659,2,1385,2.7
Sun, Jan 15 2012,1400,680,2.8,657,3.2,1337,3
Sun, Jan 15 2012,1500,726,3.2,739,1.9,1465,2.5
Sun, Jan 15 2012,1600,676,2.2,745,2.4,1421,2.3
Sun, Jan 15 2012,1700,796,3,808,4.1,1604,3.6
Sun, Jan 15 2012,1800,719,2.8,782,5.2,1501,4.1
Sun, Jan 15 2012,1900,572,5.8,707,8.5,1279,7.3
Sun, Jan 15 2012,2000,501,5,468,6.2,969,5.6
Sun, Jan 15 2012,2100,396,4,338,7.1,734,5.4
Sun, Jan 15 2012,2200,275,5.8,215,5.6,490,5.7
Sun, Jan 15 2012,2300,202,9.9,131,13.7,333,11.4
Sun, Jan 15 2012,2400,97,10.3,76,19.7,173,14.5
Mon, Jan 16 2012,0100,47,17,46,23.9,93,20.4
Mon, Jan 16 2012,0200,32,21.9,35,45.7,67,34.3
Mon, Jan 16 2012,0300,28,21.4,43,44.2,71,35.2
Mon, Jan 16 2012,0400,31,71,104,35.6,135,43.7
Mon, Jan 16 2012,0500,55,38.2,193,36.3,248,36.7
Mon, Jan 16 2012,0600,162,25.9,465,23.9,627,24.4
Mon, Jan 16 2012,0700,347,23.6,1001,14.9,1348,17.1
Mon, Jan 16 2012,0800,947,9.5,1233,10.5,2180,10
Mon, Jan 16 2012,0900,996,10,1116,12.2,2112,11.2
Mon, Jan 16 2012,1000,706,12.7,808,15.2,1514,14.1
Mon, Jan 16 2012,1100,675,16.9,743,13.9,1418,15.3
Mon, Jan 16 2012,1200,675,18.1,668,15.9,1343,17
Mon, Jan 16 2012,1300,644,18.3,660,16.2,1304,17.3
Mon, Jan 16 2012,1400,754,15.9,687,14.8,1441,15.4
Mon, Jan 16 2012,1500,802,16.3,699,12.7,1501,14.7
Mon, Jan 16 2012,1600,868,13.8,723,12.9,1591,13.4
Mon, Jan 16 2012,1700,1193,9.2,969,9.1,2162,9.2
Mon, Jan 16 2012,1800,1185,6.8,882,8,2067,7.4
Mon, Jan 16 2012,1900,780,8.3,555,12.1,1335,9.9
Mon, Jan 16 2012,2000,417,11.5,341,21.1,758,15.8
Mon, Jan 16 2012,2100,283,12.4,261,13.4,544,12.9
Mon, Jan 16 2012,2200,229,12.7,183,14.2,412,13.3
Mon, Jan 16 2012,2300,187,21.9,106,14.2,293,19.1
Mon, Jan 16 2012,2400,104,22.1,64,32.8,168,26.2
Tue, Jan 17 2012,0100,65,43.1,39,43.6,104,43.3
Tue, Jan 17 2012,0200,41,39,29,58.6,70,47.1
Tue, Jan 17 2012,0300,35,68.6,44,38.6,79,51.9
Tue, Jan 17 2012,0400,21,33.3,87,39.1,108,38
Tue, Jan 17 2012,0500,56,53.6,159,45.9,215,47.9
Tue, Jan 17 2012,0600,125,37.6,391,26.1,516,28.9
Tue, Jan 17 2012,0700,317,24,874,13.4,1191,16.2
Tue, Jan 17 2012,0800,922,11.5,1268,10.5,2190,10.9
Tue, Jan 17 2012,0900,1056,11.7,1102,10.2,2158,10.9
Tue, Jan 17 2012,1000,758,15.3,877,14.4,1635,14.8
Tue, Jan 17 2012,1100,699,15.5,685,20,1384,17.7
Tue, Jan 17 2012,1200,697,21.5,677,17.7,1374,19.7
Tue, Jan 17 2012,1300,711,19.4,726,13.5,1437,16.4
Tue, Jan 17 2012,1400,758,18.3,784,15.6,1542,16.9
Tue, Jan 17 2012,1500,877,16.3,758,14.5,1635,15.5
Tue, Jan 17 2012,1600,993,11.6,832,10.1,1825,10.9
Tue, Jan 17 2012,1700,1273,9,998,9.1,2271,9.1
Tue, Jan 17 2012,1800,1165,7.7,875,8.7,2040,8.1
Tue, Jan 17 2012,1900,818,9.4,619,11.6,1437,10.4
Tue, Jan 17 2012,2000,486,11.9,343,15.2,829,13.3
Tue, Jan 17 2012,2100,326,12.9,282,17.4,608,15
Tue, Jan 17 2012,2200,259,17,171,20.5,430,18.4
Tue, Jan 17 2012,2300,179,16.8,107,14,286,15.7
Tue, Jan 17 2012,2400,139,13.7,78,28.2,217,18.9
Wed, Jan 18 2012,0100,71,33.8,33,42.4,104,36.5
Wed, Jan 18 2012,0200,54,44.4,36,61.1,90,51.1
